"","state","puma","educ","lweekinc","exper","expersq"
"36","Maryland",1202,13,6.999563,17,289
"108","Maryland",504,16,6.868535,8,64
"277","Maryland",601,13,6.694181,14,196
"316","Maryland",1600,9,6.357709,17,289
"473","Maryland",803,12,6.694181,26,676
"520","Maryland",1106,9,6.645391,32,1024
"543","Maryland",501,12,6.422247,23,529
"561","Maryland",1102,14,6.645391,32,1024
"599","Maryland",700,13,6.868535,30,900
"619","Maryland",505,12,6.384026,10,100
"828","Maryland",502,16,7.274,11,121
"977","Maryland",1300,12,5.846883,34,1156
"980","Maryland",1203,16,7.824046,29,841
"1024","Maryland",1001,16,7.176019,7,49
"1190","Maryland",1300,12,7.824046,43,1849
"1268","Maryland",902,16,7.233178,10,100
"1338","Maryland",300,12,6.907755,19,361
"1360","Maryland",1201,9,6.594098,19,361
"1400","Maryland",400,12,7.274,27,729
"1555","Maryland",602,12,7.083646,21,441
"1609","Maryland",501,16,6.806659,15,225
"1712","Maryland",1203,16,7.205007,20,400
"1800","Maryland",1400,12,5.846883,19,361
"1821","Maryland",1105,16,6.340902,7,49
"1859","Maryland",1201,12,7.130899,29,841
"1911","Maryland",1500,12,6.357709,9,81
"1920","Maryland",1203,16,8.705905,38,1444
"1951","Maryland",1202,10,6.074846,10,100
"2026","Maryland",1202,12,7.050856,20,400
"2041","Maryland",300,12,6.868535,32,1024
"2103","Maryland",501,10,6.802395,38,1444
"2178","Maryland",1500,12,6.827713,29,841
"2286","Maryland",1106,14,6.594098,13,169
"2294","Maryland",1001,16,7.666042,34,1156
"2332","Maryland",1203,16,6.645391,12,144
"2343","Maryland",1105,11,6.948577,19,361
"2480","Maryland",1101,13,6.868535,23,529
"2533","Maryland",1500,12,6.763174,16,256
"2593","Maryland",300,12,7.130899,35,1225
"2617","Maryland",1005,14,6.657814,31,961
"2619","Maryland",501,16,7.090077,12,144
"2636","Maryland",601,16,6.824374,10,100
"2850","Maryland",602,12,6.320353,24,576
"2879","Maryland",1007,16,6.932448,26,676
"2944","Maryland",901,16,6.763174,12,144
"3011","Maryland",1103,12,5.812982,42,1764
"3062","Maryland",1300,12,6.288716,31,961
"3190","Maryland",1006,16,6.945496,36,1296
"3287","Maryland",505,13,6.44694,20,400
"3324","Maryland",300,12,6.052089,7,49
"3462","Maryland",503,16,8.745125,20,400
"3496","Maryland",1105,13,6.323807,29,841
"3637","Maryland",200,12,6.357709,30,900
"3719","Maryland",1204,10,5.259097,37,1369
"3828","Maryland",100,12,6.999563,35,1225
"3929","Maryland",601,12,6.763174,30,900
"4002","Maryland",601,13,6.323807,27,729
"4027","Maryland",1105,14,7.399163,33,1089
"4031","Maryland",1203,10,6.374238,27,729
"4088","Maryland",300,16,5.595569,24,576
"4160","Maryland",1102,16,7.744003,38,1444
"4235","Maryland",1500,12,6.092006,12,144
"4259","Maryland",1106,14,7.233178,29,841
"4296","Maryland",804,16,4.237445,13,169
"4336","Maryland",1300,14,6.390499,25,625
"4383","Maryland",1105,13,7.034049,20,400
"4461","Maryland",802,16,6.66028,19,361
"4501","Maryland",1600,12,6.827713,18,324
"4551","Maryland",200,13,7.219192,10,100
"4564","Maryland",902,16,7.246971,15,225
"4595","Maryland",601,13,7.050856,18,324
