"","state","puma","educ","lweekinc","exper","expersq"
"29","Oklahoma",300,12,6.44694,17,289
"39","Oklahoma",1400,16,7.338538,30,900
"42","Oklahoma",1000,11,8.757784,42,1764
"251","Oklahoma",1302,16,7.495542,7,49
"357","Oklahoma",1100,16,8.121298,18,324
"415","Oklahoma",1700,12,5.952244,18,324
"431","Oklahoma",1301,13,7.986949,10,100
"496","Oklahoma",600,14,6.632812,38,1444
"539","Oklahoma",1200,13,6.907755,41,1681
"550","Oklahoma",600,16,6.868535,31,961
"651","Oklahoma",600,12,5.846439,26,676
"667","Oklahoma",400,12,6.332391,12,144
"668","Oklahoma",600,12,7.399163,30,900
"801","Oklahoma",600,12,7.050856,30,900
"840","Oklahoma",400,16,7.050856,35,1225
"1060","Oklahoma",1400,12,6.274327,8,64
"1149","Oklahoma",500,16,7.638643,23,529
"1209","Oklahoma",400,13,6.981863,40,1600
"1222","Oklahoma",500,16,7.115395,8,64
"1252","Oklahoma",200,14,6.617506,25,625
"1286","Oklahoma",1301,16,7.274,12,144
"1305","Oklahoma",300,12,6.868535,24,576
"1487","Oklahoma",1100,16,7.146166,12,144
"1512","Oklahoma",1000,16,6.357709,5,25
"1624","Oklahoma",100,12,6.756485,28,784
"1690","Oklahoma",1700,12,6.29799,10,100
"1715","Oklahoma",800,12,5.544276,40,1600
"1726","Oklahoma",100,16,7.313221,25,625
"1898","Oklahoma",700,12,5.398859,28,784
"1979","Oklahoma",1000,16,7.190618,17,289
"1995","Oklahoma",1302,13,6.625188,39,1521
"2015","Oklahoma",700,14,6.763174,37,1369
"2177","Oklahoma",300,12,5.010635,17,289
"2213","Oklahoma",1100,12,6.357709,13,169
"2221","Oklahoma",1500,12,6.763174,32,1024
"2223","Oklahoma",1100,13,6.594098,16,256
"2409","Oklahoma",1301,12,6.393719,15,225
"2538","Oklahoma",1301,12,5.863413,26,676
"2621","Oklahoma",800,9,6.047554,45,2025
"2710","Oklahoma",600,12,6.710711,19,361
"2739","Oklahoma",1000,13,7.143069,19,361
"2895","Oklahoma",1500,16,6.760949,10,100
"3025","Oklahoma",500,12,6.620073,39,1521
"3032","Oklahoma",500,10,5.46262,22,484
"3116","Oklahoma",200,16,6.237423,17,289
"3176","Oklahoma",1302,12,5.959716,8,64
"3218","Oklahoma",1700,16,6.868535,41,1681
"3321","Oklahoma",600,12,5.664562,24,576
"3584","Oklahoma",500,12,6.135565,21,441
"3585","Oklahoma",1302,11,5.348328,41,1681
"3615","Oklahoma",200,12,7.338538,28,784
"3715","Oklahoma",700,12,6.092006,20,400
"3742","Oklahoma",900,12,6.285138,39,1521
"3932","Oklahoma",1400,16,6.390499,27,729
"3983","Oklahoma",600,11,5.664562,39,1521
"4084","Oklahoma",1301,16,7.399163,31,961
"4199","Oklahoma",800,12,6.40385,18,324
"4286","Oklahoma",600,12,7.016954,46,2116
"4288","Oklahoma",100,12,6.229876,18,324
"4290","Oklahoma",500,12,5.559201,35,1225
"4345","Oklahoma",200,12,6.357709,32,1024
"4372","Oklahoma",600,12,6.821652,12,144
"4440","Oklahoma",1500,12,7.246971,24,576
"4484","Oklahoma",1301,16,5.952244,20,400
"4527","Oklahoma",700,12,5.626822,43,1849
"4555","Oklahoma",800,11,5.521461,22,484
"4670","Oklahoma",700,16,7.338538,9,81
"4798","Oklahoma",1200,16,6.963845,30,900
"4885","Oklahoma",1400,12,6.571283,27,729
"5003","Oklahoma",1600,13,7.130899,17,289
"5040","Oklahoma",1000,12,6.645391,23,529
"5053","Oklahoma",1400,14,6.104965,29,841
"5077","Oklahoma",1000,12,6.288716,10,100
"5192","Oklahoma",1100,14,6.868535,12,144
"5200","Oklahoma",1400,12,6.254703,25,625
"5261","Oklahoma",1301,16,8.718563,31,961
"5275","Oklahoma",1700,12,5.441418,17,289
"5440","Oklahoma",600,13,6.792469,34,1156
"5489","Oklahoma",1400,16,7.050856,33,1089
"5504","Oklahoma",1700,12,5.644359,13,169
"5553","Oklahoma",1700,10,6.357709,40,1600
"5559","Oklahoma",1301,13,5.441418,11,121
"5625","Oklahoma",500,12,4.748271,14,196
"5638","Oklahoma",600,13,6.645391,30,900
"5708","Oklahoma",1000,13,6.645391,14,196
"5855","Oklahoma",1600,16,6.981863,40,1600
"5860","Oklahoma",1500,12,6.50229,24,576
"5905","Oklahoma",200,16,6.895779,10,100
"5914","Oklahoma",1100,16,7.205007,29,841
"6134","Oklahoma",100,14,7.050856,36,1296
"6333","Oklahoma",1200,12,5.952244,17,289
"6350","Oklahoma",1600,12,7.050856,13,169
"6437","Oklahoma",500,14,6.357709,35,1225
"6475","Oklahoma",1600,12,6.907755,20,400
"6529","Oklahoma",500,13,5.991465,19,361
"6745","Oklahoma",1600,12,6.323807,15,225
"6911","Oklahoma",900,12,5.661223,16,256
"6959","Oklahoma",1400,10,6.384026,32,1024
"7047","Oklahoma",100,12,6.989994,33,1089
"7153","Oklahoma",600,12,6.409668,24,576
"7202","Oklahoma",1100,12,6.785153,33,1089
"7369","Oklahoma",1200,16,6.868535,25,625
"7376","Oklahoma",1100,12,5.664562,11,121
"7385","Oklahoma",600,12,6.175387,10,100
"7401","Oklahoma",1700,13,6.981863,13,169
"7440","Oklahoma",100,12,5.529124,14,196
"7579","Oklahoma",1100,12,6.073143,15,225
"7635","Oklahoma",800,9,6.511859,45,2025
"7650","Oklahoma",500,13,6.357709,20,400
"7820","Oklahoma",300,12,6.357709,26,676
"7959","Oklahoma",1400,13,7.219192,25,625
"8047","Oklahoma",1302,12,6.868535,17,289
"8076","Oklahoma",600,12,6.175387,25,625
"8097","Oklahoma",1100,16,7.561682,37,1369
"8112","Oklahoma",1100,13,6.763174,34,1156
"8122","Oklahoma",1700,12,5.952244,39,1521
"8158","Oklahoma",500,14,6.047554,28,784
"8167","Oklahoma",1200,16,7.313221,23,529
"8273","Oklahoma",1200,13,6.670084,20,400
"8324","Oklahoma",1302,11,6.422247,42,1764
"8471","Oklahoma",1700,12,5.7291,16,256
"8532","Oklahoma",1000,12,6.586172,18,324
"8655","Oklahoma",1600,12,6.694181,27,729
