"","state","puma","educ","lweekinc","exper","expersq"
"7","Oregon",1309,13,6.999563,29,841
"112","Oregon",500,12,7.130899,42,1764
"215","Oregon",600,16,5.521461,12,144
"234","Oregon",1311,16,6.252348,17,289
"352","Oregon",1313,16,7.205007,7,49
"592","Oregon",300,12,6.645391,37,1369
"637","Oregon",1101,12,5.75785,29,841
"645","Oregon",600,12,6.706016,29,841
"740","Oregon",1000,12,7.034049,25,625
"805","Oregon",1309,12,6.888337,34,1156
"854","Oregon",600,16,6.948577,18,324
"859","Oregon",200,12,6.125777,20,400
"936","Oregon",1308,12,5.664562,19,361
"1213","Oregon",702,13,6.128665,18,324
"1312","Oregon",1311,12,6.806659,42,1764
"1369","Oregon",701,12,5.90095,20,400
"1393","Oregon",1302,10,7.729735,23,529
"1406","Oregon",1304,16,6.825627,27,729
"1426","Oregon",800,13,7.21791,30,900
"1452","Oregon",702,13,6.134565,28,784
"1527","Oregon",1303,12,5.119834,7,49
"1531","Oregon",1200,14,6.645391,23,529
"1749","Oregon",500,12,6.662633,44,1936
"1803","Oregon",1301,16,5.010635,14,196
"1822","Oregon",1312,13,6.252348,34,1156
"1830","Oregon",1000,12,6.887953,40,1600
"1836","Oregon",1304,16,7.399163,24,576
"1846","Oregon",400,12,5.926926,21,441
"1851","Oregon",1311,13,6.706016,35,1225
"1966","Oregon",1000,12,6.594098,12,144
"1993","Oregon",800,12,6.422247,11,121
"2238","Oregon",800,10,5.17662,47,2209
"2272","Oregon",600,12,6.134565,9,81
"2281","Oregon",1000,12,7.274,23,529
"2384","Oregon",702,13,6.357709,10,100
"2400","Oregon",1102,12,7.119726,35,1225
"2410","Oregon",1309,13,4.679278,13,169
"2547","Oregon",1101,16,6.364354,24,576
"2725","Oregon",800,16,6.409917,30,900
"2848","Oregon",900,16,5.513739,33,1089
"2969","Oregon",1307,12,6.175387,10,100
"2984","Oregon",200,12,6.175387,20,400
"3060","Oregon",100,12,5.438079,17,289
"3091","Oregon",702,13,6.113866,11,121
"3144","Oregon",400,14,6.357709,20,400
"3326","Oregon",100,12,6.963845,22,484
"3393","Oregon",800,16,7.296413,5,25
"3407","Oregon",1309,14,6.720035,28,784
"3417","Oregon",1301,12,6.214608,28,784
"3522","Oregon",1102,14,7.130899,31,961
"3544","Oregon",900,12,6.288716,10,100
"3612","Oregon",1200,13,6.888337,30,900
"3664","Oregon",1200,10,7.2507,21,441
"3674","Oregon",1312,16,6.511859,10,100
"3689","Oregon",1101,13,6.907755,30,900
"3700","Oregon",701,13,5.920369,18,324
"3913","Oregon",1308,16,6.214608,23,529
"4016","Oregon",1101,12,5.83546,19,361
"4030","Oregon",900,11,6.134565,22,484
"4075","Oregon",900,16,7.233178,30,900
"4167","Oregon",1312,12,6.815134,31,961
"4168","Oregon",1311,16,6.357709,28,784
"4172","Oregon",702,16,5.710172,21,441
"4215","Oregon",1200,12,6.357709,28,784
"4248","Oregon",702,13,7.205007,23,529
"4391","Oregon",1101,13,6.888337,33,1089
"4397","Oregon",1308,12,6.092006,21,441
"4446","Oregon",1309,13,7.272398,33,1089
"4469","Oregon",1200,12,6.542295,11,121
"4706","Oregon",1102,13,6.694181,24,576
"4729","Oregon",600,12,6.868535,21,441
"4862","Oregon",1200,12,5.948905,21,441
"4986","Oregon",1303,11,6.461468,26,676
"5029","Oregon",300,13,5.83571,21,441
"5073","Oregon",1311,14,6.868535,21,441
"5101","Oregon",800,12,6.511859,43,1849
"5229","Oregon",1303,13,6.155185,39,1521
"5268","Oregon",500,12,6.453019,18,324
"5389","Oregon",701,12,6.67414,44,1936
"5472","Oregon",701,12,6.694181,12,144
"5525","Oregon",400,12,6.357709,39,1521
"5586","Oregon",1101,12,6.40385,7,49
"5593","Oregon",900,11,6.622634,42,1764
"5618","Oregon",1306,13,6.594098,19,361
"5622","Oregon",600,12,6.856462,43,1849
"5688","Oregon",1200,12,7.130899,22,484
"5733","Oregon",1307,14,6.967179,9,81
"5827","Oregon",1311,13,7.016954,38,1444
"5864","Oregon",1311,14,7.233178,25,625
"5927","Oregon",900,12,6.868535,22,484
"5983","Oregon",702,12,5.703783,14,196
"5997","Oregon",1307,12,7.600903,46,2116
"6026","Oregon",1309,13,6.774224,22,484
"6053","Oregon",1306,12,6.001034,15,225
"6112","Oregon",300,13,5.996261,20,400
"6155","Oregon",701,12,6.009164,44,1936
"6467","Oregon",600,13,7.393263,33,1089
"6511","Oregon",1312,13,5.446737,24,576
"6541","Oregon",1306,10,7.536364,37,1369
"6650","Oregon",100,12,6.725434,11,121
"6696","Oregon",400,12,8.779557,32,1024
"6808","Oregon",1310,12,6.078876,7,49
"6836","Oregon",1309,16,7.050856,14,196
"6879","Oregon",1308,13,7.34062,25,625
"6976","Oregon",1302,13,6.511859,11,121
"7089","Oregon",800,16,6.868535,20,400
"7133","Oregon",1308,12,6.907755,42,1764
"7160","Oregon",1304,16,6.511859,23,529
"7166","Oregon",1312,16,8.656955,32,1024
"7204","Oregon",1305,16,6.537249,28,784
"7255","Oregon",1102,13,6.285138,30,900
"7322","Oregon",1302,13,6.888337,26,676
"7384","Oregon",400,13,7.146166,21,441
"7397","Oregon",1304,12,5.846883,24,576
"7461","Oregon",1000,12,6.594098,27,729
"7470","Oregon",701,12,6.011667,20,400
"7795","Oregon",1303,13,6.740701,18,324
"7859","Oregon",1102,12,7.326466,22,484
"7869","Oregon",1101,10,6.340902,24,576
"7907","Oregon",1308,13,6.214608,12,144
"7914","Oregon",1102,13,7.470541,26,676
"7916","Oregon",500,12,6.476973,42,1764
"7971","Oregon",1306,12,6.717711,26,676
"8001","Oregon",1101,13,5.259097,9,81
"8126","Oregon",1200,16,7.718686,29,841
"8239","Oregon",1311,12,6.907755,41,1681
"8330","Oregon",1310,12,7.050856,23,529
"8341","Oregon",1101,14,6.403319,26,676
"8431","Oregon",800,16,8.517193,40,1600
"8500","Oregon",1306,12,6.717711,14,196
"8518","Oregon",100,12,6.040255,15,225
"8594","Oregon",1308,12,6.594098,27,729
"8631","Oregon",300,13,6.645391,19,361
"8663","Oregon",900,12,6.848332,32,1024
"8664","Oregon",900,12,5.521461,12,144
"8669","Oregon",1301,16,6.945496,16,256
"8765","Oregon",1312,13,6.907755,24,576
"8789","Oregon",1313,9,5.863631,21,441
"8804","Oregon",200,12,6.288716,15,225
"8831","Oregon",701,13,6.511859,21,441
