"","state","puma","educ","lweekinc","exper","expersq"
"32","Tennessee",400,12,5.474208,17,289
"87","Tennessee",1200,11,5.846883,13,169
"148","Tennessee",1200,12,5.236442,30,900
"210","Tennessee",3000,12,6.864527,39,1521
"223","Tennessee",1000,16,6.357709,19,361
"226","Tennessee",802,12,5.567981,34,1156
"232","Tennessee",300,12,6.620073,42,1764
"280","Tennessee",2300,16,6.827713,21,441
"329","Tennessee",2201,12,7.130899,26,676
"337","Tennessee",600,12,7.115395,42,1764
"346","Tennessee",802,12,7.099646,27,729
"400","Tennessee",1600,12,6.531849,45,2025
"427","Tennessee",200,12,6.409917,15,225
"451","Tennessee",1000,16,7.399163,24,576
"483","Tennessee",1100,12,6.808226,21,441
"489","Tennessee",100,12,6.357709,21,441
"504","Tennessee",2300,12,7.52086,42,1764
"525","Tennessee",2100,16,6.763174,29,841
"548","Tennessee",2400,16,8.743409,29,841
"676","Tennessee",3201,12,6.306416,28,784
"727","Tennessee",3000,12,6.357709,22,484
"766","Tennessee",300,12,6.888337,18,324
"775","Tennessee",1400,14,5.398859,7,49
"792","Tennessee",600,14,6.848332,13,169
"795","Tennessee",1000,12,6.368759,11,121
"799","Tennessee",3103,11,6.54003,33,1089
"857","Tennessee",2700,11,6.175387,37,1369
"948","Tennessee",2300,11,5.664562,26,676
"960","Tennessee",2800,16,7.348067,39,1521
"978","Tennessee",2400,13,8.743409,22,484
"1008","Tennessee",2204,13,5.634789,6,36
"1075","Tennessee",1400,13,6.645391,24,576
"1166","Tennessee",3202,13,7.456321,17,289
"1225","Tennessee",200,12,6.453019,8,64
"1299","Tennessee",3202,16,6.785153,37,1369
"1324","Tennessee",1900,16,7.246971,28,784
"1328","Tennessee",3104,16,6.511859,17,289
"1368","Tennessee",2500,12,6.323807,22,484
"1387","Tennessee",1600,12,5.585999,10,100
"1395","Tennessee",3101,13,5.846883,35,1225
"1450","Tennessee",2800,12,7.083646,27,729
"1536","Tennessee",1200,13,5.868862,12,144
"1561","Tennessee",400,13,6.511859,33,1089
"1562","Tennessee",3102,12,6.56743,19,361
"1578","Tennessee",2600,12,6.214608,39,1521
"1678","Tennessee",1200,13,6.763174,17,289
"1697","Tennessee",2400,16,6.740701,13,169
"1700","Tennessee",1200,11,5.921784,20,400
"1912","Tennessee",200,12,6.422247,21,441
"1945","Tennessee",400,14,6.357709,26,676
"1974","Tennessee",2203,16,6.967179,14,196
"2098","Tennessee",2201,12,6.173786,16,256
"2135","Tennessee",2400,12,7.083646,18,324
"2255","Tennessee",2201,16,8.743409,8,64
"2284","Tennessee",3103,13,8.743409,33,1089
"2314","Tennessee",900,12,6.288716,16,256
"2361","Tennessee",801,11,6.789972,45,2025
"2375","Tennessee",2400,13,6.594098,23,529
"2432","Tennessee",2205,10,6.377127,32,1024
"2523","Tennessee",600,12,5.298317,27,729
"2549","Tennessee",1900,13,6.175387,17,289
"2581","Tennessee",600,12,6.047554,16,256
"2609","Tennessee",900,12,6.575505,43,1849
"2631","Tennessee",400,13,6.701299,14,196
"2806","Tennessee",3103,12,6.323807,11,121
"2835","Tennessee",200,12,6.785153,17,289
"2852","Tennessee",900,12,6.001034,33,1089
"2933","Tennessee",900,13,6.482872,30,900
"2970","Tennessee",1800,14,6.528857,28,784
"2971","Tennessee",2500,12,6.511859,23,529
"2976","Tennessee",1100,16,6.511859,26,676
"2990","Tennessee",801,13,6.175387,27,729
"3023","Tennessee",2500,10,6.001034,22,484
"3081","Tennessee",502,12,9.69892,30,900
"3089","Tennessee",2205,10,6.214608,43,1849
"3094","Tennessee",400,13,6.422247,9,81
"3096","Tennessee",3103,14,6.806659,8,64
"3097","Tennessee",1302,12,6.907755,32,1024
"3132","Tennessee",300,12,6.963845,13,169
"3168","Tennessee",2300,16,6.422247,8,64
